25-12-2018 17:06:53,Random,CPUtoGPU
GPU_Kernel_Init,GPU_Kernel_Launch,GPU_Map_Copy,CPU_Map_Init,CPU_Texture_Init,Bitmap_Map_Build,Bitmap_File_Build
-1,6.55213,8.02093,-1,487.885,-1,465.007
-1,11.0325,10.2848,-1,487.229,-1,425.003
-1,6.4272,8.02758,-1,487.43,-1,418.613
-1,9.39376,8.28429,-1,487.549,-1,451.285
-1,7.68682,8.13654,-1,489.58,-1,446.005
-1,6.5983,12.4866,-1,489.024,-1,429.618
-1,12.6125,8.99779,-1,495.497,-1,415.824
-1,6.5543,8.12915,-1,492.306,-1,416.475
-1,13.343,9.90566,-1,490.281,-1,425.349
-1,6.53773,8.24944,-1,488.309,-1,421.568
-1,6.54202,8.58698,-1,488.963,-1,419.587
-1,6.77091,8.04611,-1,487.35,-1,422.77
-1,6.54202,8.0631,-1,486.197,-1,413.307
-1,6.39933,8.23178,-1,485.952,-1,415.206
-1,6.40115,9.63363,-1,487.64,-1,411.129
-1,6.37645,8.07056,-1,487.694,-1,410.586
-1,6.36403,8.48883,-1,490.478,-1,413.3
-1,8.48464,8.57354,-1,488.492,-1,434.933
-1,6.5752,8.95181,-1,489.344,-1,412.115
-1,6.5447,7.98029,-1,487.289,-1,414.625
-1,12.8514,8.71568,-1,488.352,-1,414.377
-1,9.15722,8.56227,-1,490.33,-1,417.349
-1,6.54189,8.17277,-1,487.679,-1,416.541
-1,12.1152,8.59018,-1,492.086,-1,433.986
-1,11.5991,9.68506,-1,488.7,-1,431.491
-1,10.8662,8.63501,-1,489.102,-1,431.906
-1,6.76032,8.14781,-1,489.456,-1,415.627
-1,6.39418,8.08653,-1,487.747,-1,418.776
-1,6.53702,8.03014,-1,486.985,-1,412.374
-1,6.53811,8.15424,-1,486.215,-1,412.416
-1,6.37488,8.22736,-1,487.752,-1,413.072
-1,6.37005,8.7064,-1,489.831,-1,412.886
-1,8.64659,8.26381,-1,489.402,-1,416.898
-1,6.39571,9.9137,-1,488.717,-1,416.399
-1,6.42611,11.5902,-1,487.876,-1,416.946
-1,6.53693,8.0719,-1,486.239,-1,419.277
-1,9.38176,9.51984,-1,491.682,-1,435.383
-1,6.53235,8.00557,-1,489.962,-1,411.334
-1,6.53114,8.06566,-1,487.904,-1,414.714
-1,12.0445,8.42938,-1,486.715,-1,412.971
-1,6.56298,8.14176,-1,487.104,-1,413.69
-1,6.39318,4.30986,-1,487.267,-1,420.05
-1,6.37862,4.25162,-1,489.647,-1,412.834
-1,6.37142,4.2457,-1,488.017,-1,412.897
-1,6.39478,4.23434,-1,489.276,-1,412.304
-1,6.40045,4.30256,-1,487.383,-1,415.822
-1,6.38918,4.23802,-1,488.108,-1,411.133
-1,6.3863,4.26211,-1,485.736,-1,410.676
-1,6.3871,4.18573,-1,487.336,-1,410.413
-1,6.39718,4.24339,-1,485.626,-1,414.331
